id	label	model
879187	None	csebuetnlp/banglabert
316919	Profane	csebuetnlp/banglabert
916242	None	csebuetnlp/banglabert
786824	None	csebuetnlp/banglabert
47284	None	csebuetnlp/banglabert
51359	Abusive	csebuetnlp/banglabert
327639	None	csebuetnlp/banglabert
925152	Profane	csebuetnlp/banglabert
432602	None	csebuetnlp/banglabert
540917	Abusive	csebuetnlp/banglabert
259015	None	csebuetnlp/banglabert
119485	None	csebuetnlp/banglabert
629565	None	csebuetnlp/banglabert
223268	Political Hate	csebuetnlp/banglabert
91157	Political Hate	csebuetnlp/banglabert
123076	Abusive	csebuetnlp/banglabert
301408	None	csebuetnlp/banglabert
153221	None	csebuetnlp/banglabert
713730	None	csebuetnlp/banglabert
104093	Political Hate	csebuetnlp/banglabert
284969	Political Hate	csebuetnlp/banglabert
154146	None	csebuetnlp/banglabert
903474	None	csebuetnlp/banglabert
310847	Abusive	csebuetnlp/banglabert
618320	None	csebuetnlp/banglabert
219771	Abusive	csebuetnlp/banglabert
137796	None	csebuetnlp/banglabert
557214	Political Hate	csebuetnlp/banglabert
639414	None	csebuetnlp/banglabert
499556	Profane	csebuetnlp/banglabert
874903	None	csebuetnlp/banglabert
242561	Abusive	csebuetnlp/banglabert
170696	None	csebuetnlp/banglabert
400293	None	csebuetnlp/banglabert
345498	None	csebuetnlp/banglabert
682342	None	csebuetnlp/banglabert
103754	Abusive	csebuetnlp/banglabert
763773	None	csebuetnlp/banglabert
366364	None	csebuetnlp/banglabert
748942	None	csebuetnlp/banglabert
108952	None	csebuetnlp/banglabert
852650	Abusive	csebuetnlp/banglabert
638113	Profane	csebuetnlp/banglabert
788538	None	csebuetnlp/banglabert
677410	None	csebuetnlp/banglabert
194546	Abusive	csebuetnlp/banglabert
645529	Political Hate	csebuetnlp/banglabert
924142	None	csebuetnlp/banglabert
69380	Political Hate	csebuetnlp/banglabert
748478	None	csebuetnlp/banglabert
645018	Abusive	csebuetnlp/banglabert
295794	None	csebuetnlp/banglabert
63426	Abusive	csebuetnlp/banglabert
63116	Profane	csebuetnlp/banglabert
551400	None	csebuetnlp/banglabert
835607	Abusive	csebuetnlp/banglabert
103869	None	csebuetnlp/banglabert
562502	None	csebuetnlp/banglabert
472928	None	csebuetnlp/banglabert
319508	None	csebuetnlp/banglabert
545961	None	csebuetnlp/banglabert
698843	None	csebuetnlp/banglabert
590762	None	csebuetnlp/banglabert
878482	None	csebuetnlp/banglabert
451314	Abusive	csebuetnlp/banglabert
88129	Profane	csebuetnlp/banglabert
189525	None	csebuetnlp/banglabert
379097	Abusive	csebuetnlp/banglabert
864667	None	csebuetnlp/banglabert
780940	None	csebuetnlp/banglabert
577465	Abusive	csebuetnlp/banglabert
201744	None	csebuetnlp/banglabert
5641	Abusive	csebuetnlp/banglabert
110529	Political Hate	csebuetnlp/banglabert
732060	None	csebuetnlp/banglabert
899521	None	csebuetnlp/banglabert
217414	Political Hate	csebuetnlp/banglabert
364331	Abusive	csebuetnlp/banglabert
