939763	ভিনধর্মীদের সাথে সম্পর্ক রাখা ঠিক না, দূরে থাকো	Religious Hate
939764	ওরা আমাদের ধর্মকে অপমান করে, ওদের বয়কট করো	Religious Hate
939765	ওদের ধর্মীয় অনুষ্ঠান সমাজ নষ্ট করছে	Religious Hate
939766	ভিনধর্মীদের স্কুলে পড়া উচিত না	Religious Hate
939767	ওদের ধর্ম আমাদের সংস্কৃতির বিপরীত, গ্রহণযোগ্য না	Religious Hate
939768	ওরা নাপাক, ওদের খাবার থেকেও দূরে থাকো	Religious Hate
939769	ওদের ধর্মের লোকজনকে বিশ্বাস করা যায় না	Religious Hate
939770	ওদের ধর্মীয় প্রচার বন্ধ করা দরকার	Religious Hate
939771	ওদের উপাসনালয় হলে এলাকায় অশান্তি বাড়ে	Religious Hate
939772	ওদের সাথে আত্মীয়তা করা হারাম	Religious Hate
939773	ওদের ধর্মগ্রন্থ ভ্রান্ত, মানুষকে বিপথে নিয়ে যায়	Religious Hate
939774	ভিনধর্মীদের দোকান থেকে কেনাকাটা করো না	Religious Hate
939775	ওরা আমাদের ধর্মের শত্রু—সতর্ক থাকো	Religious Hate
939776	ওদের উৎসব পালন সমাজে খারাপ প্রভাব ফেলে	Religious Hate
939777	ওদের মতাদর্শ তরুণদের বিপথে দেয়	Religious Hate
939778	ওদের ধর্ম আমাদের দেশে ছড়াতে দেওয়া যাবে না	Religious Hate
939779	ওদের সাথে মেলামেশা কমাও, ঈমান বাঁচাও	Religious Hate
939780	ওদের ধর্মীয় স্লোগান শুনলে মাথা গরম হয়	Religious Hate
939781	ওরা আমাদের ধর্মকে হেয় করে—সহ্য করা যায় না	Religious Hate
939782	ওদের ধর্মীয় প্রতীক আমাদের সমাজে মানায় না	Religious Hate
939783	বালের কথা কম বল, কাজের পোস্ট দে	Profane
939784	এত বকর বকর করিস কেন, চুপ থাক	Profane
939785	ভাই, এতো ফালতু কথা বলে লাভ কি	Profane
939786	তোর নাটক দেখে মেজাজ খারাপ	Profane
939787	এত কুত্তামি কইরা লাভ নাই	Profane
939788	ফালতু স্ট্যাটাস দিয়া লজ্জা নাই	Profane
939789	মাইরে বাপ করা নিউজ দিস না	Profane
939790	এতো বাজে কথা! মাথা খারাপ	Profane
939791	বালের যুক্তি দিয়া ঘোরা বন্ধ কর	Profane
939792	তুই বেশি চালাক হইস না	Profane
939793	আজেবাজে কমেন্ট কইরা লাভ নাই	Profane
939794	এইসব বালছাল ছাইড়া দে	Profane
939795	ভাগ, বাজে কথা শুনার টাইম নাই	Profane
939796	ফালতু পাগলামি চলবে না	Profane
939797	তোরে আর সহ্য হয় না, থাম	Profane
939798	এত কচলানি কেন, চুপ	Profane
939799	বকবকানি বন্ধ কর, দয়া করে	Profane
939800	মাথা খাওয়াইস না আর	Profane
939801	ভ্যানিটি দেখাইস না, বিরক্তিকর	Profane
939802	একদম আজে বাজে কথা বাদ	Profane
